sediment_thick,gwt,predom,vs30,dem,pga,geo_form,near_dis,near_dis_norm,near_dist,LIQ
4,4,9,2,2,3,13,0.54,0.06,3,1
3,6,7,2,2,4,11,0.12,0.01,1,1
3,7,7,2,2,5,13,0.94,0.1,4,1
3,7,8,3,3,3,13,1.13,0.12,5,1
4,6,6,2,2,4,13,0.2,0.02,1,1
2,5,5,2,3,4,13,0.28,0.03,2,0
3,4,8,3,3,4,11,0.05,0,1,1
4,4,8,2,3,3,13,0.67,0.07,3,1
1,8,1,3,7,3,1,3.58,0.38,9,0
1,7,1,3,5,3,1,2.59,0.27,8,0
1,5,1,3,4,3,1,1.61,0.17,6,0
1,4,1,3,4,3,1,0.63,0.07,3,0
3,4,7,1,2,5,10,0.24,0.03,2,0
5,3,9,2,2,5,11,0.1,0.01,1,1
6,4,9,2,2,4,13,0.18,0.02,1,1
5,5,9,2,2,3,13,1.11,0.12,5,1
5,7,9,2,3,3,13,0.47,0.05,3,1
5,7,8,2,2,4,11,0.17,0.02,1,1
3,7,6,2,3,5,13,0.6,0.06,3,0
1,7,1,3,3,2,8,1.05,0.11,4,0
1,5,1,3,2,2,8,0.62,0.07,3,0
2,4,6,2,2,4,13,0.5,0.05,3,1
3,3,7,2,2,3,13,0.62,0.07,3,1
5,3,8,2,2,3,11,0.1,0.01,1,1
1,7,1,3,4,3,1,2.69,0.28,8,0
1,5,2,2,3,7,10,1.75,0.18,6,0
1,5,7,2,2,4,11,0.81,0.09,4,1
3,4,8,2,2,4,11,0.05,0.01,1,1
4,4,8,2,2,4,10,0.33,0.04,2,1
5,3,9,1,2,4,10,0.37,0.04,2,1
5,4,9,2,3,4,10,1.1,0.12,5,1
4,6,7,2,3,3,10,0.65,0.07,3,1
4,6,8,2,2,4,13,0.58,0.06,3,1
4,6,6,2,2,3,11,0.23,0.02,2,1
2,5,1,3,3,2,13,0.97,0.1,4,0
2,4,1,3,3,2,8,0.96,0.1,4,0
2,4,4,2,3,3,13,0.22,0.02,2,1
3,3,5,3,3,4,13,0.59,0.06,3,1
4,3,2,2,3,4,9,0.76,0.08,4,0
1,7,1,3,6,5,6,1.86,0.2,6,0
1,7,1,3,5,5,6,1.38,0.15,5,0
1,7,1,3,5,5,6,1.02,0.11,4,0
1,8,1,3,2,5,14,0.29,0.03,2,0
1,8,1,3,2,5,17,0.2,0.02,2,0
1,8,6,3,3,6,17,0.6,0.06,3,0
1,8,1,2,3,6,3,0.44,0.05,2,0
1,9,1,3,4,5,1,0.18,0.02,1,0
1,9,1,3,5,5,1,1.13,0.12,5,0
1,8,1,3,4,5,1,1.88,0.2,6,0
1,8,1,3,4,5,1,2.5,0.26,7,0
1,8,1,3,4,5,3,2.59,0.27,8,0
1,7,1,3,5,5,3,1.63,0.17,6,0
1,7,1,3,7,5,4,0.76,0.08,4,0
1,6,1,3,6,5,3,0.64,0.07,3,0
1,6,1,3,6,5,3,1.47,0.16,5,0
1,6,1,3,8,5,1,2.29,0.24,7,0
1,7,1,3,7,5,6,2.81,0.3,8,0
1,7,1,3,6,5,6,2.45,0.26,7,0
1,7,1,3,5,5,6,3.66,0.39,9,0
1,7,1,3,5,5,6,2.72,0.29,8,0
1,6,1,3,7,5,6,3.7,0.39,9,0
1,7,1,3,5,5,17,2.72,0.29,8,0
1,7,1,3,8,5,1,4.78,0.5,10,0
1,6,1,3,6,5,1,3.81,0.4,9,0
1,6,1,3,5,5,2,2.86,0.3,8,0
1,7,1,3,8,5,19,4.93,0.52,10,0
1,7,1,3,7,5,19,3.97,0.42,9,0
1,6,1,3,7,5,1,3.04,0.32,8,0
1,7,1,3,9,5,19,4.77,0.5,10,0
1,7,1,3,8,5,19,3.79,0.4,9,0
1,7,1,3,8,5,1,2.81,0.3,8,0
1,6,1,3,8,5,1,4.76,0.5,10,0
1,7,1,3,6,5,1,3.78,0.4,9,0
1,7,1,3,5,5,1,2.81,0.3,8,0
1,5,1,3,8,5,1,6.9,0.73,11,0
1,5,1,3,6,5,1,5.95,0.63,11,0
1,6,1,3,5,5,4,5,0.53,10,0
2,7,1,3,5,5,1,4.08,0.43,9,0
8,6,9,2,2,3,13,0.29,0.03,2,1
9,7,9,2,2,4,13,0.16,0.02,1,1
7,6,7,1,2,5,13,0.25,0.03,2,1
3,7,3,2,3,8,4,3.2,0.34,8,0
1,5,1,3,6,5,1,7.24,0.76,12,0
1,5,1,3,5,5,6,6.34,0.67,11,0
3,6,2,3,4,8,4,5.46,0.58,11,0
4,7,4,2,3,8,4,4.63,0.49,10,0
5,6,3,2,3,8,7,3.71,0.39,9,0
1,4,1,3,4,5,6,7.72,0.81,12,0
1,5,2,2,4,8,4,6.78,0.71,11,0
4,6,5,2,3,8,4,5.81,0.61,11,0
6,8,7,2,3,8,4,4.85,0.51,10,0
